GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
enrollment,br.com.emanuelvictor.enrollment.application.api.resource,ClassResource,0,3,0,0,0,1,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment.application.api.resource,EnrollmentResource,0,10,0,0,0,2,0,2,0,2
enrollment,br.com.emanuelvictor.enrollment.application.api.resource,PeopleResource,0,3,0,0,0,1,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment,EnrollmentManagementSolution,0,3,0,0,0,1,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment.infrastructure.generic.application.api.resource,AbstractResource,0,79,0,10,0,18,0,11,0,6
enrollment,br.com.emanuelvictor.enrollment.infrastructure.generic.domain.service,AbstractService,0,23,0,0,0,6,0,5,0,5
enrollment,br.com.emanuelvictor.enrollment.domain.service,EnrollmentService,0,10,0,0,0,2,0,2,0,2
enrollment,br.com.emanuelvictor.enrollment.domain.entity,Enrollment,0,9,0,0,0,4,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment.domain.entity,Class,0,7,0,0,0,3,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment.domain.entity,People,0,9,0,0,0,4,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment.infrastructure.hibernate.dialect,PostgreSQLDialect,0,9,0,0,0,3,0,1,0,1
enrollment,br.com.emanuelvictor.enrollment.application.i18n,ResourceBundleMessageSource,0,14,0,0,0,6,0,2,0,2
enrollment,br.com.emanuelvictor.enrollment.application.i18n,MessageSourceConfiguration,0,26,0,0,0,7,0,2,0,2
enrollment,br.com.emanuelvictor.enrollment.application.i18n,MessageSourceHolder,0,42,0,0,0,10,0,9,0,9
enrollment,br.com.emanuelvictor.enrollment.infrastructure.hibernate.functions,PostgreSQLFilterFunction,0,54,0,0,0,8,0,5,0,5
